indicator_domain,indicator_code,indicator_label,poorest_q1_percent,richest_q5_percent,q5_minus_q1_pp,urban_q1_percent,urban_q5_percent,rural_q1_percent,rural_q5_percent,gaza_region_percent,geography,year,source_sheet,scope_note
Water,w_bas,Basic drinking water,98.479757,99.492342,1.012586,98.784649,99.481701,99.336382,99.301038,99.005697,State of Palestine,2020,data_summary,Wealth quintile and Gaza regional values from JMP inequalities workbook; not crisis-period evidence.
Water,w_premises,Improved water source on premises,77.512155,99.274962,21.762808,79.400252,99.344842,96.561878,98.657918,89.802479,State of Palestine,2020,data_summary,Wealth quintile and Gaza regional values from JMP inequalities workbook; not crisis-period evidence.
Water,w_available,Water source available when needed,88.614376,90.544069,1.929692,89.391203,90.159191,75.721144,92.784384,95.036248,State of Palestine,2020,data_summary,Wealth quintile and Gaza regional values from JMP inequalities workbook; not crisis-period evidence.
Water,w_quality,Drinking water not contaminated at point of collection,80.530745,78.019391,-2.511354,82.625035,75.934217,73.504653,86.210537,78.132274,State of Palestine,2020,data_summary,Wealth quintile and Gaza regional values from JMP inequalities workbook; not crisis-period evidence.
Water,tanker_truck,Main source of drinking water: tanker-truck,57.598602,6.328713,-51.26989,60.800719,7.407475,6.409451,1.174387,81.290323,State of Palestine,2020,data_summary,Wealth quintile and Gaza regional values from JMP inequalities workbook; not crisis-period evidence.
Water,piped_into_dwelling,Main source of drinking water: piped into dwelling,8.79801,80.961641,72.163632,7.342558,80.155963,76.889043,81.769634,3.322697,State of Palestine,2020,data_summary,Wealth quintile and Gaza regional values from JMP inequalities workbook; not crisis-period evidence.
Sanitation,s_bas,Basic sanitation,95.734768,98.937014,3.202246,96.097147,99.12417,90.268728,98.056833,96.518467,State of Palestine,2020,data_summary,Wealth quintile and Gaza regional values from JMP inequalities workbook; not crisis-period evidence.
Sanitation,s_sew,Sewer connection,77.359744,51.202421,-26.157323,76.621815,59.365341,5.912768,12.496249,100,State of Palestine,2020,data_summary,Wealth quintile and Gaza regional values from JMP inequalities workbook; not crisis-period evidence.
Hygiene,h_bas,Basic hygiene,84.478725,97.629581,13.150856,84.647781,97.743316,79.039784,96.955646,89.25565,State of Palestine,2020,data_summary,Wealth quintile and Gaza regional values from JMP inequalities workbook; not crisis-period evidence.
Combined,wsh_bas,Basic water sanitation and hygiene,77.173913,93.118812,15.944899,80.760369,92.879257,69.529652,93.472585,83.140496,State of Palestine,2020,data_summary,Wealth quintile and Gaza regional values from JMP inequalities workbook; not crisis-period evidence.
